seed	vmh
EX_cpd00106_e	EX_fum_LPAREN_e_RPAREN_
EX_cpd00107_e	EX_leu_L_LPAREN_e_RPAREN_
EX_cpd00108_e	EX_gal_LPAREN_e_RPAREN_
EX_cpd00111_e	EX_gthox_LPAREN_e_RPAREN_
EX_cpd00115_e	EX_datp_LPAREN_e_RPAREN_
EX_cpd00117_e	EX_ala_D_LPAREN_e_RPAREN_
EX_cpd00118_e	EX_ptrc_LPAREN_e_RPAREN_
EX_cpd00119_e	EX_his_L_LPAREN_e_RPAREN_
EX_cpd00121_e	EX_inost_LPAREN_e_RPAREN_
EX_cpd00122_e	EX_acgam_LPAREN_e_RPAREN_
EX_cpd00126_e	EX_gmp_LPAREN_e_RPAREN_
EX_cpd00129_e	EX_pro_L_LPAREN_e_RPAREN_
EX_cpd00130_e	EX_mal_L_LPAREN_e_RPAREN_
EX_cpd00132_e	EX_asn_L_LPAREN_e_RPAREN_
EX_cpd00133_e	EX_ncam_LPAREN_e_RPAREN_
EX_cpd00136_e	EX_4hbz_LPAREN_e_RPAREN_
EX_cpd00137_e	EX_cit_LPAREN_e_RPAREN_
EX_cpd00138_e	EX_man_LPAREN_e_RPAREN_
EX_cpd00139_e	EX_glyclt_LPAREN_e_RPAREN_
EX_cpd00141_e	EX_ppa_LPAREN_e_RPAREN_
EX_cpd00142_e	EX_acac_LPAREN_e_RPAREN_
EX_cpd00149_e	EX_cobalt2_LPAREN_e_RPAREN_
EX_cpd00152_e	EX_agm_LPAREN_e_RPAREN_
EX_cpd00154_e	EX_xyl_D_LPAREN_e_RPAREN_
EX_cpd00156_e	EX_val_L_LPAREN_e_RPAREN_
EX_cpd00158_e	EX_cellb_LPAREN_e_RPAREN_
EX_cpd00159_e	EX_lac_L_LPAREN_e_RPAREN_
EX_cpd00161_e	EX_thr_L_LPAREN_e_RPAREN_
EX_cpd00162_e	EX_etha_LPAREN_e_RPAREN_
EX_cpd00164_e	EX_glcur_LPAREN_e_RPAREN_
EX_cpd00176_e	EX_2ddglcn_LPAREN_e_RPAREN_
EX_cpd00179_e	EX_malt_LPAREN_e_RPAREN_
EX_cpd00182_e	EX_adn_LPAREN_e_RPAREN_
EX_cpd00184_e	EX_thymd_LPAREN_e_RPAREN_
EX_cpd00185_e	EX_arab_D_LPAREN_e_RPAREN_
EX_cpd00186_e	EX_glu_D_LPAREN_e_RPAREN_
EX_cpd00205_e	EX_k_LPAREN_e_RPAREN_
EX_cpd00208_e	EX_lcts_LPAREN_e_RPAREN_
EX_cpd00209_e	EX_no3_LPAREN_e_RPAREN_
EX_cpd00210_e	EX_taur_LPAREN_e_RPAREN_
EX_cpd00211_e	EX_but_LPAREN_e_RPAREN_
EX_cpd00214_e	EX_hdca_LPAREN_e_RPAREN_
EX_cpd00215_e	EX_pydx_LPAREN_e_RPAREN_
EX_cpd00216_e	EX_chor_LPAREN_e_RPAREN_
EX_cpd00218_e	EX_nac_LPAREN_e_RPAREN_
EX_cpd00220_e	EX_ribflv_LPAREN_e_RPAREN_
EX_cpd00221_e	EX_lac_D_LPAREN_e_RPAREN_
EX_cpd00222_e	EX_glcn_LPAREN_e_RPAREN_
EX_cpd00224_e	EX_arab_L_LPAREN_e_RPAREN_
EX_cpd00226_e	EX_hxan_LPAREN_e_RPAREN_
EX_cpd00229_e	EX_gcald_LPAREN_e_RPAREN_
EX_cpd00232_e	EX_acnam_LPAREN_e_RPAREN_
EX_cpd00235_e	EX_man6p_LPAREN_e_RPAREN_
EX_cpd00239_e	EX_h2s_LPAREN_e_RPAREN_
EX_cpd00241_e	EX_dgtp_LPAREN_e_RPAREN_
EX_cpd00242_e	EX_hco3_LPAREN_e_RPAREN_
EX_cpd00244_e	EX_ni2_LPAREN_e_RPAREN_
EX_cpd00246_e	EX_ins_LPAREN_e_RPAREN_
EX_cpd00247_e	EX_orot_LPAREN_e_RPAREN_
EX_cpd00249_e	EX_uri_LPAREN_e_RPAREN_
EX_cpd00254_e	EX_mg2_LPAREN_e_RPAREN_
EX_cpd00260_e	EX_icit_LPAREN_e_RPAREN_
EX_cpd00263_e	EX_pydxn_LPAREN_e_RPAREN_
EX_cpd00264_e	EX_spmd_LPAREN_e_RPAREN_
EX_cpd00266_e	EX_crn_LPAREN_e_RPAREN_
EX_cpd00268_e	EX_tsul_LPAREN_e_RPAREN_
EX_cpd00276_e	EX_gam_LPAREN_e_RPAREN_
EX_cpd00277_e	EX_dgsn_LPAREN_e_RPAREN_
EX_cpd00280_e	EX_galur_LPAREN_e_RPAREN_
EX_cpd00281_e	EX_4abut_LPAREN_e_RPAREN_
EX_cpd00284_e	EX_6pgc_LPAREN_e_RPAREN_
EX_cpd00285_e	EX_ethamp_LPAREN_e_RPAREN_
EX_cpd00288_e	EX_gam6p_LPAREN_e_RPAREN_
EX_cpd00298_e	EX_dtmp_LPAREN_e_RPAREN_
EX_cpd00305_e	EX_thm_LPAREN_e_RPAREN_
EX_cpd00307_e	EX_csn_LPAREN_e_RPAREN_
EX_cpd00308_e	EX_HC00319_LPAREN_e_RPAREN_
EX_cpd00309_e	EX_xan_LPAREN_e_RPAREN_
EX_cpd00311_e	EX_gsn_LPAREN_e_RPAREN_
EX_cpd00314_e	EX_mnl_LPAREN_e_RPAREN_
EX_cpd00322_e	EX_ile_L_LPAREN_e_RPAREN_
EX_cpd00338_e	EX_5aop_LPAREN_e_RPAREN_
EX_cpd00355_e	EX_nmn_LPAREN_e_RPAREN_
EX_cpd00357_e	EX_dttp_LPAREN_e_RPAREN_
EX_cpd00359_e	EX_indole_LPAREN_e_RPAREN_
EX_cpd00367_e	EX_cytd_LPAREN_e_RPAREN_
EX_cpd00383_e	EX_skm_LPAREN_e_RPAREN_
EX_cpd00388_e	EX_alltt_LPAREN_e_RPAREN_
EX_cpd00393_e	EX_fol_LPAREN_e_RPAREN_
EX_cpd00395_e	EX_Lcyst_LPAREN_e_RPAREN_
EX_cpd00396_e	EX_rmn_LPAREN_e_RPAREN_
EX_cpd00412_e	EX_duri_LPAREN_e_RPAREN_
EX_cpd00421_e	EX_pppi_LPAREN_e_RPAREN_
EX_cpd00423_e	EX_cbl2_LPAREN_e_RPAREN_
EX_cpd00438_e	EX_dad_2_LPAREN_e_RPAREN_
EX_cpd00441_e	EX_tma_LPAREN_e_RPAREN_
EX_cpd00443_e	EX_4abz_LPAREN_e_RPAREN_
EX_cpd00492_e	EX_acmana_LPAREN_e_RPAREN_
EX_cpd00507_e	EX_g3pc_LPAREN_e_RPAREN_
EX_cpd00516_e	EX_26dap_M_LPAREN_e_RPAREN_
EX_cpd00528_e	EX_n2_LPAREN_e_RPAREN_
EX_cpd00531_e	EX_hg2_LPAREN_e_RPAREN_
EX_cpd00540_e	EX_glyb_LPAREN_e_RPAREN_
EX_cpd00550_e	EX_ser_D_LPAREN_e_RPAREN_
EX_cpd00573_e	EX_idon_L_LPAREN_e_RPAREN_
EX_cpd00588_e	EX_sbt-d_LPAREN_e_RPAREN_
EX_cpd00599_e	EX_salc_LPAREN_e_RPAREN_
EX_cpd00609_e	EX_glcr_LPAREN_e_RPAREN_
EX_cpd00635_e	EX_cbl1_LPAREN_e_RPAREN_
EX_cpd00637_e	EX_met_D_LPAREN_e_RPAREN_
EX_cpd00644_e	EX_pnto_R_LPAREN_e_RPAREN_
EX_cpd00652_e	EX_galct_D_LPAREN_e_RPAREN_
EX_cpd00653_e	EX_galctn_D_LPAREN_e_RPAREN_
EX_cpd00654_e	EX_dcyt_LPAREN_e_RPAREN_
EX_cpd00655_e	EX_dpcoa_LPAREN_e_RPAREN_
EX_cpd00681_e	EX_chols_LPAREN_e_RPAREN_
EX_cpd00696_e	EX_35ccmp_LPAREN_e_RPAREN_
EX_cpd00793_e	EX_thmmp_LPAREN_e_RPAREN_
EX_cpd00794_e	EX_tre_LPAREN_e_RPAREN_
EX_cpd00797_e	EX_bhb_LPAREN_e_RPAREN_
EX_cpd00811_e	EX_tmao_LPAREN_e_RPAREN_
EX_cpd00870_e	EX_gbbtn_LPAREN_e_RPAREN_
EX_cpd00971_e	EX_na1_LPAREN_e_RPAREN_
EX_cpd01012_e	EX_cd2_LPAREN_e_RPAREN_
EX_cpd01015_e	EX_cynt_LPAREN_e_RPAREN_
EX_cpd01017_e	EX_cgly_LPAREN_e_RPAREN_
EX_cpd01030_e	EX_salcn_LPAREN_e_RPAREN_
EX_cpd01048_e	EX_aso4_LPAREN_e_RPAREN_
EX_cpd01080_e	EX_ocdca_LPAREN_e_RPAREN_
EX_cpd01092_e	EX_alltn_LPAREN_e_RPAREN_
EX_cpd01133_e	EX_stys_LPAREN_e_RPAREN_
EX_cpd01155_e	EX_15dap_LPAREN_e_RPAREN_
EX_cpd01171_e	EX_galt_LPAREN_e_RPAREN_
EX_cpd01187_e	EX_sbt_L_LPAREN_e_RPAREN_
EX_cpd01188_e	EX_lanost_LPAREN_e_RPAREN_
EX_cpd01217_e	EX_xtsn_LPAREN_e_RPAREN_
EX_cpd01242_e	EX_drib_LPAREN_e_RPAREN_
EX_cpd01262_e	EX_malttr_LPAREN_e_RPAREN_
EX_cpd01329_e	EX_malthx_LPAREN_e_RPAREN_
EX_cpd01400_e	EX_phe_L_LPAREN_e_RPAREN_
EX_cpd01741_e	EX_ddca_LPAREN_e_RPAREN_
EX_cpd01912_e	EX_fuc1p_L_LPAREN_e_RPAREN_
EX_cpd01914_e	EX_metsox_S_L_LPAREN_e_RPAREN_
EX_cpd02027_e	EX_mmet_LPAREN_e_RPAREN_
EX_cpd02227_e	EX_ahcys_LPAREN_e_RPAREN_
EX_cpd02701_e	EX_amob_LPAREN_e_RPAREN_
EX_cpd03048_e	EX_isetac_LPAREN_e_RPAREN_
EX_cpd03091_e	EX_dad-5_LPAREN_e_RPAREN_
EX_cpd03198_e	EX_melib_LPAREN_e_RPAREN_
EX_cpd03279_e	EX_din_LPAREN_e_RPAREN_
EX_cpd03343_e	EX_pppn_LPAREN_e_RPAREN_
EX_cpd03422_e	EX_cbi_LPAREN_e_RPAREN_
EX_cpd03424_e	EX_adpcbl_LPAREN_e_RPAREN_
EX_cpd03535_e	EX_argp_LPAREN_e_RPAREN_
EX_cpd03696_e	EX_arbt_LPAREN_e_RPAREN_
EX_cpd03724_e	EX_fecrm_LPAREN_e_RPAREN_
EX_cpd03725_e	EX_fe3dcit_LPAREN_e_RPAREN_
EX_cpd03847_e	EX_ttdca_LPAREN_e_RPAREN_
EX_cpd04097_e	EX_pb_LPAREN_e_RPAREN_
EX_cpd04098_e	EX_aso3_LPAREN_e_RPAREN_
EX_cpd08023_e	EX_mso3_LPAREN_e_RPAREN_
EX_cpd08305_e	EX_ctbt_LPAREN_e_RPAREN_
EX_cpd08306_e	EX_gbbtn_LPAREN_e_RPAREN_
EX_cpd08636_e	DM_dhptd_LPAREN_c_RPAREN_
EX_cpd09878_e	EX_sulfac_LPAREN_e_RPAREN_
EX_cpd10515_e	EX_fe2_LPAREN_e_RPAREN_
EX_cpd10516_e	EX_fe3_LPAREN_e_RPAREN_
EX_cpd11416_c	EX_biomass_LPAREN_e_RPAREN_
EX_cpd11416_e	EX_biomass_LPAREN_e_RPAREN_
EX_cpd11574_e	EX_mobd_LPAREN_e_RPAREN_
EX_cpd11575_e	EX_mops_LPAREN_e_RPAREN_
EX_cpd11576_e	EX_metsox_R_L_LPAREN_e_RPAREN_
EX_cpd11578_e	EX_hexs_LPAREN_e_RPAREN_
EX_cpd11579_e	EX_ethso3_LPAREN_e_RPAREN_
EX_cpd11580_e	EX_glygln_LPAREN_e_RPAREN_
EX_cpd11581_e	EX_glyasn_LPAREN_e_RPAREN_
EX_cpd11582_e	EX_alathr_LPAREN_e_RPAREN_
EX_cpd11583_e	EX_alaleu_LPAREN_e_RPAREN_
EX_cpd11584_e	EX_alahis_LPAREN_e_RPAREN_
EX_cpd11585_e	EX_alagly_LPAREN_e_RPAREN_
EX_cpd11586_e	EX_alaglu_LPAREN_e_RPAREN_
EX_cpd11587_e	EX_alagln_LPAREN_e_RPAREN_
EX_cpd11588_e	EX_glypro_LPAREN_e_RPAREN_
EX_cpd11589_e	EX_glyasp_LPAREN_e_RPAREN_
EX_cpd11590_e	EX_metala_LPAREN_e_RPAREN_
EX_cpd11591_e	EX_glymet_LPAREN_e_RPAREN_
EX_cpd11592_e	EX_glyglu_LPAREN_e_RPAREN_
EX_cpd11593_e	EX_alaasp_LPAREN_e_RPAREN_
EX_cpd11594_e	EX_dextrin_LPAREN_e_RPAREN_
EX_cpd11595_e	EX_cro4_LPAREN_e_RPAREN_
EX_cpd11596_e	EX_butso3_LPAREN_e_RPAREN_
EX_cpd11597_e	EX_arsenb_LPAREN_e_RPAREN_
EX_cpd11606_e	EX_mqn7_LPAREN_e_RPAREN_
EX_cpd11640_e	EX_h2_LPAREN_e_RPAREN_
EX_cpd15237_e	EX_hdcea_LPAREN_e_RPAREN_
EX_cpd15269_e	EX_ocdcea_LPAREN_e_RPAREN_
EX_cpd15270_e	EX_ocdcya_LPAREN_e_RPAREN_
EX_cpd15302_e	EX_glycogenb_LPAREN_e_RPAREN_
EX_cpd15352_e	EX_2dmmq8_LPAREN_e_RPAREN_
EX_cpd15378_e	EX_4hba_LPAREN_e_RPAREN_
EX_cpd15494_e	EX_malthp_LPAREN_e_RPAREN_
EX_cpd15500_e	EX_mqn8_LPAREN_e_RPAREN_
EX_cpd15560_e	EX_q8_LPAREN_e_RPAREN_
EX_cpd15603_e	EX_glycys_LPAREN_e_RPAREN_
EX_cpd15604_e	EX_glyleu_LPAREN_e_RPAREN_
EX_cpd15605_e	EX_glyphe_LPAREN_e_RPAREN_
EX_cpd15606_e	EX_glytyr_LPAREN_e_RPAREN_
EX_cpd16013_e	EX_phdca_LPAREN_e_RPAREN_
EX_cpd16062_e	EX_Cit_Mg_LPAREN_e_RPAREN_
EX_cpd16336_e	EX_isoprene_LPAREN_e_RPAREN_
EX_cpd16877_e	EX_Nbfortyr_LPAREN_e_RPAREN_
rxn00001_c	PPA
rxn00002_c	ALPHNH
rxn00003_c	ACLS
rxn00006_c	r0010
rxn00007_c	TREH
rxn00010_c	GLXCL
rxn00011_c	ACLS_a
rxn00016_c	AHEXASE3
rxn00018_c	RBPC
rxn00020_c	BGLAr
rxn00022_c	MALT
rxn00025_c	BCDO
rxn00029_c	PPBNGS
rxn00038_c	3HBBUTH
rxn00048_c	RBFSb
rxn00056_c	FERO
rxn00058_c	CYO1b
rxn00060_c	HMBS
rxn00061_c	ATPH1e
rxn00062_c	DM_atp_c_
rxn00065_c	ADNCYC
rxn00066_c	H202D
rxn00068_c	FE2DH
rxn00069_c	GLUSx
rxn00074_c	CBL2D
rxn00076_c	NADDP
rxn00077_c	NADK
rxn00082_c	NWHARGOX
rxn00083_c	THD1
rxn00085_c	GLUOX
rxn00086_c	GTHRD
rxn00090_c	GTHRDOX
rxn00095_c	AP4AH
rxn00097_c	ADK1
rxn00100_c	DPCOAK
rxn00101_c	UREA
rxn00102_c	H2CO3D
rxn00104_c	PPK2
rxn00105_c	NMNATr
rxn00106_c	PPA2
rxn00113_c	CBPS
rxn00114_c	CBMKr
rxn00117_c	NDPK2
rxn00118_c	UTPATPT
rxn00119_c	UMPK
rxn00121_c	FADDP
rxn00122_c	FMNAT
rxn00123_c	PYDXPP
rxn00124_c	PYDXKr
rxn00126_c	METATr
rxn00127_c	ADMDCr
rxn00130_c	AMPDA
rxn00131_c	AMPN
rxn00132_c	NTD7
rxn00134_c	ADNK1
rxn00137_c	BPNT
rxn00138_c	NADS1
rxn00139_c	ADPT
rxn00140_c	PDE1
rxn00141_c	AHC
rxn00143_c	AHCYSNS_r
rxn00145_c	L_LACDr
rxn00146_c	D_LACD
rxn00147_c	PPS
rxn00148_c	PYK
rxn00149_c	MTHGXLDH
rxn00151_c	PPDK
rxn00152_c	PYROX
rxn00157_c	PFL
rxn00159_c	ME1
rxn00160_c	MALDDH
rxn00161_c	ME2
rxn00162_c	OAADC
rxn00165_c	r0060
rxn00166_c	SERD_D
rxn00168_c	PYRDC
rxn00171_c	ACALD
rxn00172_c	ACCOAL2
rxn00173_c	PTAr
rxn00175_c	ACS
rxn00178_c	ACACT1r
rxn00179_c	GLU5K
rxn00182_c	GLUDxi
rxn00183_c	PUTA3
rxn00184_c	GLUDy
rxn00186_c	OPAHir
rxn00187_c	GLNS
rxn00189_c	GLUN
rxn00190_c	NADS2
rxn00191_c	ALATA_L
rxn00192_c	ACGS
rxn00193_c	GLUR
rxn00194_c	GLUDC
rxn00196_c	25DOPOX
rxn00199_c	r0082
rxn00200_c	r0085
rxn00202_c	HCITS
rxn00203_c	OXGDC
rxn00205_c	GTHP
rxn00206_c	SPODM
rxn00208_c	PYAM5POr
rxn00209_c	PDX5PO
rxn00211_c	UDPGDr
rxn00212_c	UDPGP
rxn00213_c	GALU
rxn00214_c	UDPG4E
rxn00216_c	HEX1
rxn00221_c	G1PP
rxn00222_c	BGLA
rxn00223_c	XYLI2
rxn00224_c	FCLTc
rxn00225_c	ACKr
rxn00227_c	ACYP_2
rxn00230_c	PPIACPT
rxn00231_c	AMID4
rxn00234_c	CITMALL
rxn00237_c	NDPK1
rxn00239_c	GK1
rxn00242_c	PPGPPDP
rxn00244_c	OAAH
rxn00245_c	TARTD
rxn00247_c	PPCKr
rxn00248_c	MDH
rxn00250_c	PC
rxn00251_c	PPCr
rxn00252_c	PPIOAACL
rxn00256_c	OAASr
rxn00257_c	ACITL
rxn00258_c	MALCOAPYRCT
rxn00260_c	ASPTA
rxn00262_c	ASPO1
rxn00265_c	CITL
rxn00269_c	GLYO1
rxn00270_c	GNMT
rxn00272_c	AGTi
rxn00274_c	GLYAT
rxn00276_c	GLYOAAAT
rxn00278_c	ALAD_R
rxn00283_c	ALAR
rxn00285_c	SUCOAS
rxn00288_c	SUCD1
rxn00289_c	MCITL2
rxn00290_c	OCOAT1r
rxn00291_c	SGDS
rxn00292_c	UAG2EMA
rxn00293_c	UAGDP
rxn00295_c	UAG4E
rxn00297_c	UAG2E
rxn00299_c	r0120
rxn00300_c	GTPCII
rxn00301_c	r0119
rxn00302_c	GTPCI
rxn00303_c	GTPDPK
rxn00304_c	r0122
rxn00305_c	PEPCK
rxn00306_c	SUCOAS1c
rxn00312_c	LYS2OX
rxn00313_c	DAPDC
rxn00321_c	LYSAM
rxn00322_c	LYSDC
rxn00324_c	GLYCLTDy
rxn00325_c	GLXO2
rxn00327_c	UGLYCH
rxn00328_c	DDPGA
rxn00330_c	GLXS
rxn00331_c	MCAL
rxn00333_c	GLYCTO1
rxn00336_c	ICL
rxn00337_c	ASPK
rxn00338_c	ASPO6
rxn00339_c	ASPNH4L
rxn00340_c	ASNS2
rxn00342_c	r0127
rxn00345_c	NACASPAH
rxn00346_c	ASP1DC
rxn00347_c	ASPT
rxn00350_c	GGTA
rxn00351_c	GTHS
rxn00355_c	GALT
rxn00356_c	UDPGALGLCGT
rxn00358_c	UDPGALM
rxn00359_c	PAPSNH
rxn00361_c	ADSK
rxn00362_c	CMPN
rxn00363_c	NTD4
rxn00364_c	CYTK1
rxn00365_c	CYTDK1
rxn00366_c	CDPDPH
rxn00367_c	NTPP4
rxn00368_c	CYTDK4
rxn00369_c	CYTDK2
rxn00371_c	FDHr
rxn00375_c	NFORGLUAH
rxn00378_c	SULFR
rxn00379_c	SADT
rxn00391_c	ACP1_FMN_
rxn00392_c	RBFK
rxn00393_c	G1PRIBFLVPT
rxn00394_c	ARGN
rxn00395_c	ARGDA
rxn00396_c	ARGKr
rxn00399_c	r0145
rxn00400_c	NOS1
rxn00405_c	ARGDC
rxn00407_c	DCTPD2
rxn00408_c	NTP5
rxn00409_c	NDPK3
rxn00410_c	CTPS1
rxn00411_c	r0153
rxn00412_c	CTPS2
rxn00413_c	CTPPPL
rxn00414_c	CBPS
rxn00416_c	ASNS1
rxn00419_c	HPYRR3x
rxn00420_c	PSP_L
rxn00421_c	PPSERPT
rxn00422_c	SPTc
rxn00423_c	SERATi
rxn00424_c	SGAMT
rxn00427_c	PRDX
rxn00431_c	MAOX2
rxn00433_c	SARCOX
rxn00438_c	TMPKr
rxn00440_c	TMDPK
rxn00441_c	r0163c
rxn00449_c	GULLACO
rxn00451_c	AHCYSMETMT
rxn00452_c	HCYSMT
rxn00456_c	METGL
rxn00459_c	ENO
rxn00460_c	r0165
rxn00461_c	UAGCVT_r
rxn00463_c	NTPP8
rxn00465_c	CITRH
rxn00467_c	ORNTA
rxn00469_c	ACODAr
rxn00470_c	ORNDC
rxn00471_c	ORNCD
rxn00473_c	TRPAS2
rxn00474_c	TRPS2r
rxn00478_c	TRPO2
rxn00479_c	L_TRPCOO
rxn00484_c	LTDCL
rxn00490_c	AROH
rxn00493_c	PHETA1
rxn00497_c	PHYCBOXL
rxn00499_c	LDH_L
rxn00500_c	LDH_D
rxn00501_c	MMSAD3
rxn00502_c	MMSAD4
rxn00503_c	P5CD
rxn00505_c	ICDHx
rxn00506_c	ALDD2x
rxn00508_c	SSALxr
rxn00509_c	SSALyr
rxn00510_c	SACCD2
rxn00512_c	GLYCLTDx
rxn00514_c	NTPP9
rxn00515_c	NDPK9
rxn00519_c	OAACL
rxn00520_c	SUCOAS1
rxn00521_c	TYRL
rxn00525_c	L_AROND
rxn00526_c	L_ARONR
rxn00527_c	TYRTA
rxn00529_c	TYRCBOX
rxn00532_c	MMSAD5
rxn00533_c	ACCOAC
rxn00537_c	PACTH
rxn00539_c	ETHAAL
rxn00540_c	HOPNTAL
rxn00541_c	THRAr
rxn00542_c	LACLi
rxn00543_c	ALCD2x
rxn00544_c	THMPPC
rxn00545_c	PFK
rxn00546_c	M1PD
rxn00547_c	HEX7
rxn00548_c	F6PE4PL
rxn00549_c	FBP
rxn00551_c	PFK(ppi)
rxn00552_c	G6PDA
rxn00553_c	UDPGGT
rxn00555_c	GF6PTA
rxn00556_c	r0191
rxn00558_c	PGI
rxn00559_c	MAN6PI
rxn00566_c	CYSDS
rxn00567_c	NIR
rxn00568_c	NTRIR2x
rxn00569_c	NTRIR2y
rxn00572_c	NTRARy
rxn00575_c	SUCR
rxn00577_c	GLCTR4r
rxn00579_c	UDPGFRUGT
rxn00584_c	BZDIOLDH
rxn00588_c	CATDOX
rxn00589_c	SALCACD
rxn00599_c	ALAS
rxn00601_c	AST
rxn00602_c	MMM2r
rxn00604_c	G6PDH2r
rxn00605_c	TRE6PS
rxn00606_c	TRE6PH
rxn00607_c	MALT6PH
rxn00608_c	BGLA1
rxn00609_c	MI1PI
rxn00611_c	G3PD1
rxn00612_c	G3PD2
rxn00613_c	GLYC3POR
rxn00614_c	G3PO
rxn00615_c	GLYK
rxn00616_c	G3PD8
rxn00620_c	CDPGLYCPGH
rxn00621_c	G3PCT
rxn00623_c	SULR
rxn00627_c	KHK
rxn00629_c	MANAD_D
rxn00634_c	SBTD_D2
rxn00638_c	ALGD
rxn00640_c	MAN1PT2
rxn00641_c	MAN1PT
rxn00642_c	GMAND
rxn00646_c	GLUCYS
rxn00649_c	CYSS
rxn00650_c	AMPTASECG
rxn00653_c	BAMPPALDOX
rxn00654_c	UPPN
rxn00656_c	APATr
rxn00657_c	AMAMTi
rxn00669_c	ACCOAL
rxn00670_c	PTA2
rxn00671_c	MMSAD1
rxn00672_c	MMCD
rxn00674_c	ACS2
rxn00675_c	r0220
rxn00676_c	MACCOAT
rxn00678_c	PYRCT
rxn00679_c	MCITS
rxn00686_c	DHFR
rxn00688_c	FTHFDH
rxn00689_c	FPGS_tm
rxn00690_c	FTHFL
rxn00691_c	FTHFD
rxn00692_c	GHMT2r
rxn00693_c	METSr
rxn00695_c	GLGC
rxn00702_c	G1PCT
rxn00703_c	G1PGTi
rxn00704_c	PGMT
rxn00705_c	G1PPT
rxn00707_c	CYTDK3
rxn00708_c	NTD2
rxn00709_c	URIK1
